h,t,accel,grav,acgx,fr,thr
h,t,accel,grav,acgx,fr,thr
54968.3785812501,36.9270849142937,7.32545450563372,1.50370437268468,5.98322411923191,1.0220428624816,1.48135798256066
54936.9457617467,36.9087348513476,7.3259802341511,1.50375302680491,6.00414816200294,1.02483230214145,1.48529896771834
54905.5039397429,36.8903769074948,7.32650603813419,1.5038016800159,6.0250985186596,1.02762492236925,1.48924588938271
54874.0515469951,36.8720045725732,7.32702964090207,1.50385033231502,6.04608344022955,1.03042216867776,1.49319725917384
54842.5861885461,36.8536216101785,7.32755331851584,1.50389898367291,6.06709799559925,1.03322304870047,1.49715204570435
54811.10806118,36.8352357021235,7.32807877900253,1.5039476340772,6.08813240655897,1.03602598574542,1.50111166245549
54779.6164615136,36.8168386809386,7.32860431485641,1.50399628362099,6.1091971228311,1.03883264525808,1.5050789249348
54748.1099895565,36.7984297248027,7.32912992609369,1.50404493219321,6.13029314728253,1.04164316316667,1.50905411679825
54716.5886351662,36.7800085469675,7.32965561273058,1.50409357983443,6.15142090975112,1.04445759720129,1.51303752209125
54685.0551775089,36.7615745039111,7.33018251411127,1.50414222653271,6.17258152943828,1.04727593633482,1.51702783961348
54653.5079033477,36.74312877324,7.33070892150539,1.5041908723314,6.19377341613344,1.05009820617513,1.52102528119759
54622.9469494324,36.7253268968679,7.33123426485618,1.5042395171745,6.21423174709367,1.0528201644392,1.52487548356218
54592.5644435177,36.7076402077463,7.33175911359894,1.50428816105223,6.23457188253885,1.05552568267512,1.52869941202103
54562.1681276937,36.6899491077165,7.3322851774774,1.50433680404711,6.2549324695395,1.05823342733869,1.53252930971637
54531.761664608,36.6722485688866,7.33281131685291,1.50438544608206,6.27532035958386,1.06094449584239,1.53636673163584
54501.3468257769,36.6545420641549,7.33333753174172,1.50443408717559,6.2957312420746,1.06365829957886,1.54021235565838
54470.9220115962,36.6368260903129,7.33386382216007,1.50448272734412,6.31616957511737,1.06637544575487,1.54406685601276
54440.4882496945,36.6190960230886,7.33439075844254,1.50453136658482,6.33664152019774,1.06909669051334,1.54792911361928
54410.0479341424,36.6013586465055,7.33491720005067,1.50458000486203,6.35713851261221,1.07182103124762,1.55179726129885
54379.6011086579,36.5836085791827,7.33544086482777,1.50462864222133,6.37766762804677,1.07454976674441,1.55567026085565
54349.1494831697,36.5658522955739,7.33596517494581,1.50467727866994,6.39822062374069,1.07728127300836,1.55954451244707
54318.6917317351,36.5480961053238,7.33649070131044,1.50472591417586,6.41878916988405,1.08001432928207,1.5634236640868
54288.2286782593,36.5303333314388,7.33701573224802,1.50477454873095,6.43938209895174,1.08275039029372,1.56730956058121
54257.7589360864,36.512563342193,7.33754140914633,1.50482318237507,6.46000016328744,1.08548938963864,1.57120189290558
54227.2839462527,36.4947867955025,7.33806659048643,1.50487181506387,6.48064267151499,1.08823140102487,1.5751009338612
54196.8032015273,36.4770009573704,7.33859241798309,1.50492044682797,6.50131322033122,1.09097674474196,1.57900657040098
54166.3190507016,36.4592097971985,7.33911832084412,1.50496907765845,6.5220068480934,1.09372482835631,1.58291787518363
54135.8318766602,36.4414085153072,7.33964144340855,1.50501770756628,6.54272996047515,1.09647695055578,1.5868327119567
54105.3466246875,36.42360548262,7.34016521176994,1.50506633654649,6.5634720132448,1.09923116401432,1.59074869170338
54074.8620263326,36.4058075142476,7.34069019748724,1.50511496460732,6.58422391171495,1.10198614281411,1.59466846113705
54044.3805057507,36.3880086021305,7.34121525830631,1.50516359172325,6.60499382422605,1.10474316997761,1.59859383831105
54013.9059433329,36.370211559908,7.3417398227814,1.50521221791564,6.62577840253547,1.10750187513056,1.60252456384654
53983.437218314,36.3524154289371,7.34226503377061,1.5052608431562,6.64657883569631,1.11026224759775,1.60646067058364
53953.1606510845,36.3347355821998,7.34278803340915,1.5053094674562,6.66725894767359,1.11300617394172,1.61037057861673
53923.0001282624,36.3171295726578,7.34331110756097,1.50535809088686,6.68786787706055,1.11574000446629,1.61426409308193
53892.8470243434,36.2995307968714,7.34383654339439,1.50540671337242,6.70848408009869,1.11847407617743,1.61815969648832
53862.7025005682,36.2819348002585,7.34436205442621,1.5054553348956,6.7291135996436,1.12120955823202,1.622059524087
53832.5676804897,36.264344889761,7.34488649676879,1.50550395553206,6.7497521402131,1.12394604047004,1.62596320984481
53802.4472193022,36.2467615817634,7.34541158604846,1.5055525752261,6.77039945048108,1.12668322649559,1.62987117191948
53772.3420557389,36.2291854576252,7.34593617829591,1.50560119396326,6.79105484540824,1.12942119806112,1.63378287571348
53742.2527439238,36.2116169446048,7.34646027328207,1.50564981177186,6.81171780774613,1.13215988518538,1.63769896411155
53712.1829965853,36.1940507797049,7.34698329849959,1.5056984286959,6.83239575839527,1.13490038677425,1.64161562337187
53682.1324123645,36.1764944585656,7.34750639819512,1.50574704464108,6.85307861730824,1.13764115455587,1.64553033038551
53652.099755083,36.1589471950685,7.34802957238457,1.50579565970535,6.87376731792527,1.14038231543362,1.64944420130587
53622.0865146301,36.1414100075698,7.34855224856095,1.50584427383971,6.89446062925307,1.14312379077631,1.65335644213507
53592.088026437,36.1238880356022,7.34907786212269,1.50589288702822,6.91515115746976,1.14586403933754,1.65727249291364
53562.1024004631,36.1063718607021,7.34960355088003,1.50594149929497,6.93585140228966,1.14860520613711,1.66119543751106
53532.1274155469,36.0888598388649,7.3501293148491,1.50599011065862,6.95656337604707,1.15134756467607,1.66512567647839
53502.159363128,36.0713497534789,7.35065515404605,1.50603872106597,6.97728972713939,1.15409147489879,1.6690635522207
53472.1947366104,36.0538366193307,7.35118049555452,1.5060873305352,6.99803688647258,1.15683790136162,1.67300767206276
53442.2336128291,36.0363232303948,7.35170591215928,1.50613593907591,7.01880110766652,1.15958624414542,1.67695645981129
53412.2724704926,36.018802024166,7.35222853839619,1.50618454670995,7.03959234418653,1.16233830957064,1.68090875621257
53382.3073293413,36.0012756933635,7.35275181212181,1.50623315342074,7.06040659071857,1.16509301048572,1.68486305811257
53352.3377723373,35.9837440086306,7.35327516033773,1.50628175919224,7.08124415792048,1.16785047884952,1.68881950976937
53322.3590011506,35.9662038431806,7.35379858305987,1.50633036403825,7.10210886715625,1.17061123363166,1.69277914486139
53292.7965596681,35.948937146577,7.35432208030414,1.50637896797414,7.12265885839435,1.17332878981167,1.69667405543451
53263.8002599929,35.9320432867334,7.35484565208644,1.50642757096966,7.14277270541075,1.17598664683422,1.70048109420784
53234.7879123532,35.9151441862266,7.35537044559402,1.50647617303263,7.16290735718411,1.17864675808543,1.7042939302459
53205.7570546102,35.8982307182089,7.35589588766623,1.50652477419573,7.1830750965946,1.18131088360839,1.70811671860924
53176.7072166451,35.8813024943953,7.35642083106569,1.50657337435984,7.20327647248939,1.18397928107485,1.7119478824334
53147.6409819969,35.8643613628202,7.35694642322574,1.50662197365973,7.2235092790722,1.18665146522898,1.71578805817708
53118.555858633,35.8474033122372,7.35747266440845,1.50667057197424,7.24377883681307,1.18932815763181,1.71963652936909
53089.4569595249,35.8304341378001,7.35799898088043,1.50671916936917,7.26407777394664,1.19200844769162,1.72349224627776
53060.3451556508,35.8134494100896,7.35852365042455,1.50676776580399,7.2844123480072,1.19469346453809,1.72735355838971
53031.2203472762,35.7964541059983,7.35904839479819,1.50681636133868,7.30477575294,1.19738200397041,1.73121738439628
53002.0873076366,35.779458359429,7.35957436250036,1.50686495595118,7.32515453468733,1.20007204976972,1.73508665868702
52972.9495734018,35.7624575538666,7.3601009797158,1.50691354956213,7.34555547144305,1.20276461496959,1.73896226350147
52943.8056937775,35.7454507830351,7.36062709789532,1.50696214228414,7.36597970130386,1.20546004105073,1.74284512925943
52914.6600366943,35.7284408717163,7.36115386578472,1.50701073406773,7.38642381292735,1.20815767597693,1.74673425675668
52885.5145443319,35.7114220889879,7.36167955993597,1.50705932485169,7.40689601194718,1.21085891666771,1.75062645683406
52856.3701174755,35.6944020308143,7.36220475452491,1.50710791473628,7.42738589013787,1.21356225516316,1.75451998720045
